PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Ray McCallum,PG,0.07,8,8.75,6' 0.25'',6' 1.75'',8' 0.5'',191.4,6' 3.25'',2013
CJ McCollum,PG-SG,0.09,8,9.5,6' 2.25'',6' 3.25'',8' 0.5'',197,6' 6.25'',2013
Ben McLemore,SG,0.05,8.75,9.5,6' 3.5'',6' 4.75'',8' 4.5'',189.2,6' 7.75'',2013
Tony Mitchell,PF-SF,0.06,9,10,6' 7.5'',6' 8.75'',8' 10.5'',236.4,7' 2.5'',2013
Shabazz Muhammad,SF-SG,0.09,9,10,6' 4.75'',6' 6.25'',8' 8.5'',221.8,6' 11'',2013
Erik Murphy,PF,0.08,8.75,9.75,6' 8.75'',6' 9.5'',9' 0'',239.8,6' 10.5'',2013
Mike Muscala,C-PF,0.07,8.5,9,6' 10.25'',6' 11.5'',9' 0'',230.2,7' 1'',2013
Nerlens Noel,C,0.04,9.5,10,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75'',2013
Victor Oladipo,SG,0.07,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25'',2013
Kelly Olynyk,PF-C,0.07,8.5,10,6' 10.75'',7' 0'',9' 0'',234,6' 9.75'',2013
Brandon Paul,SG,0.05,8.5,9.5,6' 2.75'',6' 4'',8' 2'',201,6' 10.25'',2013
Norvel Pelle,PF-C,0.05,8.75,9.5,6' 9.5'',6' 10.5'',9' 1'',207.2,7' 2.5'',2013
Mason Plumlee,C-PF,0.06,9.75,9.5,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11'',2013
Otto Porter,SF,0.07,8.75,9.25,6' 7.5'',6' 8.5'',8' 9.5'',197.6,7' 1.5'',2013
Phil Pressey,PG,0.05,7.75,9.75,5' 9.5'',5' 11.5'',7' 8'',177,6' 2.25'',2013
Glen Rice,SF-SG,0.08,8.5,9,6' 4.5'',6' 5.75'',8' 5.5'',210.8,6' 9.25'',2013
Andre Roberson,PF-SF,0.07,8.75,9.5,6' 6.25'',6' 7'',8' 8.5'',205.8,6' 11'',2013
Dennis Schroder,PG,0.04,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75'',2013
Peyton Siva,PG,0.06,8,9.75,5' 11.5'',6' 1'',7' 9'',180.6,6' 3'',2013
Tony Snell,SF-SG,0.05,9,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5'',2013
James Southerland,SF-PF,0.08,8,9.5,6' 7'',6' 8'',8' 10'',220.6,7' 1'',2013
Adonis Thomas,SF,0.08,9.25,9.5,6' 4.75'',6' 5.75'',8' 3'',231.8,7' 1'',2013
Deshaun Thomas,SF,0.09,8,8.75,6' 5'',6' 7'',8' 8'',219.8,6' 10'',2013
Jeff Withey,C,0.09,9,9.75,6' 10.75'',7' 0.5'',9' 2.5'',221.8,7' 2'',2013
Nate Wolters,PG,0.06,8.25,8.75,6' 3.5'',6' 4.75'',8' 2'',196.4,6' 3.75'',2013
BJ Young,SG-PG,0.05,8.5,9.5,6' 2.25'',6' 3.5'',8' 3'',178.8,6' 8.25'',2013
Cody Zeller,C-PF,0.05,8.5,10.5,6' 10.75'',7' 0.25'',8' 10'',230,6' 10.75'',2013
Quincy Acy,PF,0.07,9.5,11,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75'',2012
Harrison Barnes,SF-SG,0.1,9,8.5,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25'',2012
Will Barton,SG-SF,0.04,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75'',2012
