PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Darryl Watkins,C,0.07,-,-,6' 8.75'',6' 10.25'',9' 2'',241,7' 3'',2007
Major Wingate,C,0.07,-,-,6' 8.5'',6' 10.75'',9' 1'',242,7' 4'',2007
DaShaun Wood,PG,0.05,-,-,5' 10.75'',5' 11.5'',7' 8'',167,6' 0.75'',2007
Julian Wright,SF-PF,0.06,-,-,6' 6.5'',6' 8.5'',9' 0'',211,7' 2.25'',2007
Brandan Wright,PF,0.06,-,-,6' 8.75'',6' 10'',9' 0.5'',200,7' 3.75'',2007
Avis Wyatt,PF,0.03,-,-,6' 8.75'',6' 9.5'',8' 11'',212,7' 1'',2007
Jianlian Yi,,-%,-,-,,,,-,,2007
Nick Young,SG-SF,0.07,-,-,6' 5'',6' 6.75'',8' 4.5'',206,7' 0'',2007
Thaddeus Young,SF,0.05,-,-,6' 5.75'',6' 7.5'',8' 10'',210,6' 11.5'',2007
Kenny Adeleke,PF-C,0.11,-,-,6' 6.5'',6' 7.75'',8' 8'',250,6' 10.25'',2006
Maurice Ager,SG-PG,0.08,-,-,6' 3.25'',6' 4.5'',8' 5.5'',203,6' 7.75'',2006
LaMarcus Aldridge,PF-C,0.09,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75'',2006
Morris Almond,SG-SF,0.07,-,-,6' 4.75'',6' 6'',8' 6.5'',214,6' 10'',2006
Lou Amundson,PF,0.07,-,-,6' 7.2'',6' 8'',8' 7.5'',221,6' 11.5'',2006
Rashad Anderson,SG,0.17,-,-,6' 3.25'',6' 4.5'',8' 4'',224,6' 7'',2006
Hilton Armstrong,C-PF,0.06,-,-,6' 9.5'',6' 10.25'',9' 1'',240,7' 4'',2006
James Augustine,PF,0.06,-,-,6' 8.25'',6' 9.75'',8' 8'',227,7' 0.25'',2006
Renaldo Balkman,SF-PF,0.05,-,-,6' 5.25'',6' 6.5'',8' 8.5'',206,7' 1'',2006
J.P. Batista,PF,0.12,-,-,6' 7.5'',6' 8.5'',8' 7.5'',265,6' 10'',2006
Will Blalock,PG,0.07,-,-,5' 11.25'',6' 0.5'',8' 0.5'',194,6' 6'',2006
Brandon Bowman,SF,0.08,-,-,6' 6.75'',6' 8.25'',8' 7'',209,6' 11.5'',2006
Ronnie Brewer,SG-PG,0.05,-,-,6' 5.75'',6' 6.75'',8' 7.5'',223,6' 11.25'',2006
Denham Brown,SG-SF,0.09,-,-,6' 4'',6' 5'',8' 6.5'',218,6' 9.5'',2006
Brad Buckman,PF,0.11,-,-,6' 7.25'',6' 8.75'',8' 11.5'',238,7' 0'',2006
Nik Caner-Medley,SF,0.1,-,-,6' 6.5'',6' 8'',8' 7'',234,6' 9'',2006
Rodney Carney,SG-SF,0.05,-,-,6' 4.5'',6' 5.75'',8' 7.5'',204,6' 10'',2006
Keydren Clark,PG,0.12,-,-,5' 9'',5' 10.25'',7' 8.5'',184,6' 2.5'',2006
Mardy Collins,PG-SG,0.1,-,-,6' 4.25'',6' 5.5'',8' 7'',224,6' 10'',2006
Taquan Dean,SG-PG,0.04,-,-,6' 2'',6' 3'',8' 2'',183,6' 6.75'',2006
Terence Dials,PF-C,0.16,-,-,6' 7.75'',6' 9'',8' 10'',253,7' 0'',2006
Sean Dockery,PG-SG,0.07,-,-,6' 0.75'',6' 2'',7' 11.5'',182,6' 4.5'',2006
Jordan Farmar,PG,0.04,-,-,6' 0.75'',6' 2'',7' 10.5'',171,6' 3'',2006
Randy Foye,SG-PG,0.1,-,-,6' 2.25'',6' 3.25'',8' 1'',212,6' 6.25'',2006
Torin Francis,PF-C,0.12,-,-,6' 9'',6' 10'',8' 9.5'',247,7' 1'',2006
Rudy Gay,SF-PF,0.06,-,-,6' 7'',6' 8'',8' 11.5'',222,7' 3'',2006
Nick George,SF-SG,0.06,-,-,6' 4'',6' 5.75'',8' 7'',201,6' 10'',2006
Taj Gray,PF-SF,0.07,-,-,6' 7.25'',6' 8.5'',8' 11'',231,7' 0.75'',2006
Dan Grunfeld,SF-SG,0.1,-,-,6' 4.75'',6' 6'',8' 3'',216,6' 6.25'',2006
Matt Haryasz,PF-C,0.1,-,-,6' 9.75'',6' 11'',8' 11.5'',219,7' 0.25'',2006
Eric Hicks,PF,0.07,-,-,6' 4.75'',6' 5.5'',8' 9.5'',238,7' 1.5'',2006
Tedric Hill,SF-PF,0.07,-,-,6' 7.75'',6' 9'',8' 11'',236,7' 1'',2006
Daniel Horton,PG-SG,0.08,-,-,6' 0.5'',6' 2.25'',8' 0.5'',198,6' 7'',2006
Bobby Jones,SF-SG,0.08,-,-,6' 5.75'',6' 6.75'',8' 5.5'',211,6' 9.5'',2006
Solomon Jones,PF-C,0.07,-,-,6' 8.5'',6' 9.75'',9' 1'',224,7' 4.75'',2006
Viktor Keyru,SG-PG,0.06,-,-,6' 5.25'',6' 6'',8' 8'',202,6' 9.25'',2006
Marco Killingsworth,PF,0.19,-,-,6' 5.5'',6' 6.75'',8' 8'',266,7' 3'',2006
Tarence Kinsey,SF-SG,0.04,-,-,6' 4.75'',6' 5.5'',8' 4.5'',179,6' 6.75'',2006
Carl Krauser,PG,0.08,-,-,5' 11.75'',6' 0.75'',8' 1'',190,6' 6.25'',2006
Chris McCray,SG,0.1,-,-,6' 3'',6' 4'',8' 0.5'',187,6' 5.75'',2006
Gerry McNamara,PG-SG,0.13,-,-,5' 11.75'',6' 0.5'',7' 8.5'',177,6' 0.75'',2006
Pops Mensah-Bonsu,PF-C,0.06,-,-,6' 7.5'',6' 9'',8' 9.5'',232,7' 0'',2006
Paul Miller,PF-C,0.14,-,-,6' 8.5'',6' 9.25'',8' 5.5'',251,7' 0'',2006
Paul Millsap,PF,0.1,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5'',2006
Dwayne Mitchell,SG-SF,0.05,-,-,6' 2'',6' 3.25'',8' 2.5'',208,6' 6.5'',2006
Adam Morrison,SF,0.07,-,-,6' 6.5'',6' 7.75'',8' 9'',198,6' 10'',2006
Yemi Nicholson,PF-C,0.17,-,-,6' 7.75'',6' 9.5'',8' 11'',258,7' 4.25'',2006
David Noel,SF-SG,0.06,-,-,6' 4.5'',6' 6'',8' 4'',223,6' 9.5'',2006
Steve Novak,SF,0.08,-,-,6' 8'',6' 9.25'',8' 7'',216,6' 9.5'',2006
Patrick O'Bryant,C,0.1,-,-,6' 11'',7' 0'',9' 5'',249,7' 5.75'',2006
Danilo Pinnock,PG-SG,0.05,-,-,6' 2.75'',6' 4'',8' 4.5'',204,6' 7.5'',2006
Chris Quinn,PG-SG,0.06,-,-,6' 0.5'',6' 1.5'',7' 10'',175,6' 5'',2006
Allan Ray,SG,0.1,-,-,6' 1'',6' 2.25'',8' 3.5'',204,6' 8.5'',2006
JJ Redick,SG,0.07,-,-,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25'',2006
Antywane Robinson,SF-PF,0.07,-,-,6' 6.25'',6' 7.5'',8' 9.5'',217,7' 2.5'',2006
Brandon Roy,SG-SF,0.08,-,-,6' 5.25'',6' 6.25'',8' 5'',207,6' 8'',2006
Blake Schilb,PG-SG,0.11,-,-,6' 5.25'',6' 6.25'',8' 6'',209,6' 8.75'',2006
Mouhamed Sene,C,0.07,-,-,6' 11'',7' 0'',9' 5'',237,7' 8.5'',2006
Cedric Simmons,PF-C,0.06,-,-,6' 8.25'',6' 9.5'',9' 0.5'',223,7' 4.25'',2006
Marcus Slaughter,PF-SF,0.09,-,-,6' 7'',6' 8'',8' 8.5'',220,6' 11.5'',2006
Craig Smith,PF,0.12,-,-,6' 5.5'',6' 6.5'',8' 7.5'',259,6' 9.5'',2006
Steven Smith,SF-PF,0.08,-,-,6' 7.5'',6' 9.25'',8' 8'',238,7' 0.5'',2006
Michael Southhall,C,0.08,-,-,6' 9.5'',6' 10.25'',8' 11.5'',241,7' 4.25'',2006
Frans Steyn,C,0.13,-,-,7' 1.25'',7' 2.5'',9' 1'',280,7' 2.25'',2006
Curtis Stinson,SG,0.06,-,-,6' 1.75'',6' 2.75'',8' 1.5'',208,6' 5'',2006
Tyrus Thomas,PF-SF,0.06,-,-,6' 7.25'',6' 8.25'',9' 0'',217,7' 3'',2006
Joah Tucker,SF-SG,0.07,-,-,6' 3.75'',6' 5.25'',8' 3.5'',224,6' 6.5'',2006
Ian Vouyoukas,C-PF,0.15,-,-,6' 8.5'',6' 9.5'',9' 0.5'',267,7' 0.75'',2006
Darius Washington,PG,0.1,-,-,5' 11.5'',6' 1'',8' 0'',195,6' 4'',2006
CJ Watson,PG,0.05,-,-,6' 0.5'',6' 1.75'',8' 0'',171,6' 6'',2006
Marcus Williams,PG,0.12,-,-,6' 2'',6' 3.25'',8' 1.5'',215,6' 7'',2006
Shawne Williams,SF-PF,0.08,-,-,6' 7.25'',6' 8.75'',8' 8'',227,7' 3'',2006
Justin Williams,C-PF,0.07,-,-,6' 7.25'',6' 8.75'',9' 1'',211,7' 1.5'',2006
Shelden Williams,PF-C,0.11,-,-,6' 7.5'',6' 8.5'',8' 8'',258,7' 4.25'',2006
Eric Williams,C-PF,0.13,-,-,6' 7.25'',6' 8.75'',8' 10.5'',285,7' 4.25'',2006
Curtis Withers,PF-SF,0.05,-,-,6' 6'',6' 6.5'',8' 5'',227,6' 10'',2006
