PLAYER,POS,LANE_AGILITY_TIME,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MAX_BENCH_PRESS,YEAR
Damion James,SF,10.89,-,3.20,29.00,33.00,13.00,2010
Wesley Johnson,SF,11.43,-,3.14,32.00,37.00,16.00,2010
Armon Johnson,PG-SG,11.25,-,3.19,31.50,38.50,18.00,2010
Dominique Jones,SG,10.88,-,3.31,26.00,32.50,19.00,2010
Jerome Jordan,C,-,-,-,-,-,-,2010
Sylven Landesberg,SG,11.59,-,3.36,28.00,32.00,8.00,2010
Gani Lawal,PF,11.61,-,3.24,27.00,31.50,20.00,2010
Greg Monroe,PF-C,12.10,-,3.35,25.00,29.00,15.00,2010
Daniel Orton,C,12.32,-,3.39,24.00,30.50,13.00,2010
Artsiom Parakhouski,C,12.07,-,3.33,25.50,26.50,16.00,2010
Patrick Patterson,PF,11.14,-,3.25,28.50,33.50,17.00,2010
Dexter Pittman,PF-C,-,-,-,-,-,-,2010
Andy Rautins,SG,11.27,-,3.49,23.50,30.50,8.00,2010
Ryan Richards,PF,11.33,-,3.37,25.00,28.50,4.00,2010
Stanley Robinson,SF,11.65,-,3.23,-,37.50,6.00,2010
Larry Sanders,PF-C,12.49,-,3.27,25.50,28.00,7.00,2010
Jon Scheyer,PG-SG,-,-,-,-,-,-,2010
Lance Stephenson,SG,11.39,-,3.38,27.00,33.00,10.00,2010
Mikhail Torrance,PG,11.43,-,3.17,23.00,32.00,8.00,2010
Evan Turner,SG,11.06,-,3.27,27.50,34.50,9.00,2010
Ekpe Udoh,PF,11.15,-,3.29,31.00,33.50,10.00,2010
Jarvis Varnado,PF-C,11.61,-,3.37,29.50,32.50,3.00,2010
Greivis Vasquez,PG-SG,-,-,-,-,-,-,2010
John Wall,PG,10.84,-,3.14,30.00,39.00,-,2010
Willie Warren,SG-PG,11.21,-,3.50,23.00,31.50,10.00,2010
Terrico White,SG-PG,11.38,-,3.15,31.00,40.00,10.00,2010
Hassan Whiteside,C-PF,11.83,-,3.54,27.00,31.50,12.00,2010
Keith Benson,C-PF,11.88,-,3.35,31.50,36.00,12.00,2011
Marshon Brooks,SG,10.74,-,3.09,34.00,38.50,5.00,2011
Alec Burks,SG,10.96,-,3.17,29.00,36.00,5.00,2011
Jimmy Butler,SF,11.12,-,3.15,32.00,39.00,14.00,2011
Norris Cole,PG,10.07,-,3.22,29.50,38.50,11.00,2011
Jon Diebler,SG,10.94,-,3.37,28.00,35.00,2.00,2011
Michael Dunigan,PF-C,11.85,-,3.27,29.50,34.50,10.00,2011
LaceDarius Dunn,SG,11.45,-,3.27,26.50,31.00,3.00,2011
Kenneth Faried,PF,11.35,-,3.26,30.50,35.00,16.00,2011
James Fredette,PG,10.42,-,3.21,28.00,33.00,14.00,2011
Andrew Goudelock,PG,10.33,-,3.10,32.50,37.00,4.00,2011
Jordan Hamilton,SF,11.47,-,3.30,25.00,32.00,7.00,2011
Justin Harper,PF-SF,11.92,-,3.30,28.50,33.00,19.00,2011
Tobias Harris,SF-PF,10.96,-,3.17,31.50,37.50,12.00,2011
Tyler Honeycutt,SF,11.68,-,3.07,30.00,37.00,-,2011
Scotty Hopson,SG,10.47,-,3.18,32.50,36.00,10.00,2011
Kyrie Irving,PG,-,-,-,-,-,-,2011
Rick Jackson,PF,11.51,-,3.26,28.50,33.00,9.00,2011
Charles Jenkins,PG-SG,11.68,-,3.18,29.50,34.00,16.00,2011
JaJuan Johnson,PF,11.21,-,3.14,33.50,38.00,15.00,2011
